cluster_id,doc_count,rel_freq
369,1,0.000020
377,1,0.000020
235,1,0.000020
290,1,0.000020
103,1,0.000020
115,1,0.000020
114,1,0.000020
111,1,0.000020
110,1,0.000020
109,1,0.000020
108,1,0.000020
107,1,0.000020
106,1,0.000020
105,1,0.000020
104,1,0.000020
102,1,0.000020
120,1,0.000020
100,1,0.000020
99,1,0.000020
98,1,0.000020
96,1,0.000020
95,1,0.000020
94,1,0.000020
91,1,0.000020
90,1,0.000020
89,1,0.000020
88,1,0.000020
116,1,0.000020
122,1,0.000020
85,1,0.000020
141,1,0.000020
153,1,0.000020
152,1,0.000020
151,1,0.000020
150,1,0.000020
149,1,0.000020
148,1,0.000020
147,1,0.000020
146,1,0.000020
145,1,0.000020
144,1,0.000020
140,1,0.000020
123,1,0.000020
139,1,0.000020
138,1,0.000020
137,1,0.000020
134,1,0.000020
133,1,0.000020
130,1,0.000020
129,1,0.000020
127,1,0.000020
126,1,0.000020
124,1,0.000020
86,1,0.000020
84,1,0.000020
288,1,0.000020
25,1,0.000020
39,1,0.000020
37,1,0.000020
36,1,0.000020
35,1,0.000020
33,1,0.000020
32,1,0.000020
30,1,0.000020
29,1,0.000020
27,1,0.000020
26,1,0.000020
23,1,0.000020
42,1,0.000020
22,1,0.000020
21,1,0.000020
19,1,0.000020
17,1,0.000020
16,1,0.000020
14,1,0.000020
13,1,0.000020
12,1,0.000020
11,1,0.000020
8,1,0.000020
41,1,0.000020
43,1,0.000020
81,1,0.000020
65,1,0.000020
80,1,0.000020
79,1,0.000020
77,1,0.000020
76,1,0.000020
75,1,0.000020
74,1,0.000020
72,1,0.000020
71,1,0.000020
70,1,0.000020
69,1,0.000020
64,1,0.000020
46,1,0.000020
63,1,0.000020
59,1,0.000020
54,1,0.000020
53,1,0.000020
52,1,0.000020
51,1,0.000020
50,1,0.000020
49,1,0.000020
48,1,0.000020
47,1,0.000020
154,1,0.000020
155,1,0.000020
156,1,0.000020
239,1,0.000020
251,1,0.000020
250,1,0.000020
249,1,0.000020
248,1,0.000020
247,1,0.000020
245,1,0.000020
244,1,0.000020
242,1,0.000020
241,1,0.000020
240,1,0.000020
238,1,0.000020
253,1,0.000020
237,1,0.000020
236,1,0.000020
451,1,0.000020
234,1,0.000020
