word,count
compani,8591.0
percent,5418.0
billion,3682.0
market,3336.0
bank,3273.0
million,2607.0
busi,2527.0
trade,2305.0
share,2245.0
uber,2088.0
investor,2041.0
invest,1989.0
price,1960.0
deal,1930.0
industri,1842.0
financi,1797.0
firm,1745.0
car,1716.0
plan,1715.0
sale,1691.0
expect,1677.0
servic,1676.0
product,1617.0
fund,1610.0
rate,1586.0
manag,1556.0
stock,1540.0
job,1508.0
china,1486.0
execut,1472.0
tax,1454.0
data,1441.0
technolog,1439.0
system,1392.0
economi,1358.0
growth,1317.0
appl,1307.0
wednesday,1305.0
cut,1301.0
global,1284.0
secur,1277.0
custom,1257.0
sourc,1251.0
increas,1238.0
chief,1233.0
consum,1205.0
pay,1190.0
declin,1189.0
offer,1181.0
worker,1178.0
oper,1170.0
feder,1162.0
analyst,1150.0
hold,1134.0
tuesday,1126.0
googl,1120.0
amazon,1120.0
edit,1112.0
target,1111.0
sign,1093.0
major,1082.0
cost,1070.0
capit,1067.0
retail,1066.0
rule,1056.0
sell,1049.0
develop,1045.0
store,1038.0
econom,1035.0
meet,1028.0
close,1026.0
money,1018.0
buy,1017.0
user,1001.0
quarter,997.0
comment,990.0
internet,989.0
big,971.0
inflat,969.0
tesla,969.0
polici,968.0
employe,959.0
privat,950.0
york,947.0
chang,943.0
regul,939.0
interest,936.0
reuter,922.0
board,921.0
profit,915.0
ceo,912.0
provid,912.0
high,892.0
take,892.0
matter,891.0
rais,891.0
administr,871.0
revenu,870.0
number,865.0
concern,863.0
statement,863.0
japan,857.0
inform,842.0
citi,836.0
initi,836.0
labor,828.0
addit,824.0
file,820.0
dollar,819.0
largest,819.0
vehicl,818.0
import,817.0
announc,816.0
chines,812.0
onlin,811.0
airlin,806.0
march,795.0
account,795.0
biggest,789.0
intern,786.0
agreement,786.0
creat,785.0
depart,779.0
open,774.0
monday,771.0
facebook,771.0
oil,767.0
model,763.0
food,762.0
order,761.0
law,759.0
gain,757.0
friday,755.0
fed,753.0
debt,749.0
index,749.0
set,749.0
central,749.0
home,747.0
spend,744.0
equiti,740.0
push,735.0
power,729.0
futur,726.0
network,719.0
post,716.0
build,713.0
program,710.0
low,710.0
earlier,710.0
remain,706.0
past,704.0
research,703.0
larg,696.0
earn,693.0
energi,692.0
case,691.0
top,689.0
record,689.0
result,688.0
driver,687.0
corpor,684.0
run,681.0
sector,680.0
investig,673.0
app,673.0
attack,671.0
thursday,669.0
asset,665.0
expand,665.0
base,660.0
demand,660.0
softwar,658.0
court,657.0
street,654.0
face,654.0
vote,650.0
familiar,649.0
rose,645.0
rise,645.0
sharehold,643.0
produc,639.0
potenti,633.0
director,631.0
tokyo,629.0
decis,627.0
averag,627.0
propos,624.0
higher,623.0
process,620.0
problem,619.0
launch,619.0
forecast,618.0
comput,615.0
note,614.0
project,613.0
requir,611.0
euro,610.0
agenc,609.0
protect,606.0
lot,606.0
april,602.0
crisi,601.0
brand,598.0
talk,597.0
control,595.0
posit,593.0
fell,591.0
fall,590.0
bill,581.0
repres,580.0
give,579.0
credit,572.0
wall,572.0
lower,570.0
digit,568.0
head,568.0
found,568.0
partner,567.0
tech,564.0
drop,562.0
risk,560.0
media,555.0
america,554.0
level,553.0
advertis,551.0
turn,546.0
grow,542.0
commun,541.0
annual,539.0
experi,536.0
hit,535.0
half,528.0
help,527.0
find,525.0
european,525.0
line,525.0
engin,524.0
lead,522.0
small,520.0
limit,520.0
manufactur,519.0
financ,518.0
effort,516.0
place,515.0
june,509.0
activ,508.0
drive,507.0
estim,507.0
approv,506.0
earli,503.0
maker,501.0
union,500.0
improv,498.0
canada,497.0
review,497.0
total,496.0
return,496.0
term,496.0
loss,495.0
ago,492.0
request,492.0
video,488.0
achiev,485.0
governor,484.0
washington,482.0
respons,481.0
london,480.0
phone,480.0
design,480.0
foreign,480.0
promis,480.0
cash,480.0
competit,480.0
email,479.0
due,479.0
benefit,478.0
reduc,473.0
member,472.0
agre,471.0
hope,470.0
corp,469.0
employ,468.0
critic,466.0
pledg,465.0
export,464.0
forc,463.0
releas,462.0
access,462.0
approach,460.0
elect,460.0
claim,460.0
worth,457.0
exchang,455.0
kong,453.0
charg,452.0
reach,452.0
chairman,451.0
stake,447.0
mobil,443.0
loan,443.0
highest,442.0
ford,439.0
electr,439.0
team,438.0
rival,438.0
devic,436.0
giant,435.0
congress,434.0
